Program,Organization,min_funding,max_funding,Program_Eligibility,Use_of_Funds,Area,Website,Website_complete,Type_of_Fund,Targeted_Applicants,Phone,Zip_Code
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Pennsylvania,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(717) 237-2113,19120
Intermediary Relending Program,USDA Rural Development,0,250000,"Business acquisition, construction and renovation, land acquisition and development, equipment, machinery or supplies, leasehold improvements, startup costs, working capital, pollution control and abatement, transportation services, feasibility studies and some fees, building of hotels/ motels/convention centers, educational institutions, aquaculture-based rural small business, revolving lines of credit","Individuals with projects in areas, including a city or town, with a population of fewer than 50,000 residents",Pennsylvania,seda-cog.org,https://seda-cog.org/departments/business-loans/,Loan - Revolving Loan Fund,Economically Disadvantaged,(570) 524-4491,19120
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Pennsylvania,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(717) 237-2299,19120
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Pennsylvania,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(717) 237-2299,19120
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Pennsylvania,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(717) 237-2299,19120
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Puerto Rico,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women","(787) 294-1613, ext. 1614",913
Direct Emergency Farm Loan,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Puerto Rico,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,"(787) 294-1613, ext. 1614",913
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Puerto Rico,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women","(787) 294-1613, ext. 1614",913
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Puerto Rico,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women","(787) 294-1613, ext. 1614",913
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Puerto Rico,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women","(787) 294-1613, ext. 1614",913
Direct Operating Loan,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Puerto Rico,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women","(787) 294-1613, ext. 1614",913
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Puerto Rico,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women","(787) 294-1613, ext. 1614",913
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Puerto Rico,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(787) 766-5095,913
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Puerto Rico,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(787) 766-5095,913
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Puerto Rico,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(787) 766-5095,913
Dairy Cattle Facilities,Puerto Rico Department of Agriculture,0,8000,Farmers,"Milking parlors, oxidation ponds, equipment",Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Fertilizer Provision Program,Puerto Rico Department of Agriculture,0,3000,Farmers,Fertilizers as recommended by Department of Agriculture,Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Fishing Industry,Puerto Rico Department of Agriculture,0,3000,"Commercial fisherman, fishing organizations","Equipment, materials",Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Hydroponic and Ornamental,Puerto Rico Department of Agriculture,0,5000,Farmers,Operating capital,Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Incentive for Agricultural Investment,Puerto Rico Department of Agriculture,0,250000,Bonafide farmers,"Equipment, machinery, land improvements, agricultural infrastructure, adoption of agricultural technology, substitution of fossil sources in agricultural products, eco-farms and eco-farm projects",Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Incentive Program for Machinery,Puerto Rico Department of Agriculture,0,8000,Farmers,"Road cleaning, road construction, plowing, farm cleaning, pond construction, embankment construction, canal cleaning, other",Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Insurance Premium Payment Subsidy,Puerto Rico Department of Agriculture,0,5000,Farmers,"Insurance premium for coffee, banana, papaya, citrus, other crops",Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Livestock Facilities,Puerto Rico Department of Agriculture,0,5000,Farmers,"Building, acquisition, improvement, equipment",Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Poultry Industry,Puerto Rico Department of Agriculture,0,7500,Farmers,"Construction, expansion, installation, improvement, and purchase of facilities and equipment for turkey and guinea farms, laying hen farms, broiler chickens, and chickens",Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Regional Investment Incentives for Beekeeping Industry,Puerto Rico Department of Agriculture,0,5000,Farmers,"Box building or purchase for hives, queens, equipment, and materials",Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Small Businessmen,Puerto Rico Department of Agriculture,0,1500,Farmers,"Purebred animals or purebred crosses (rabbits, goats, and sheep)",Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Swine Industry,Puerto Rico Department of Agriculture,0,5000,Farmers,,Puerto Rico,www.agricultura.pr,https://www.agricultura.pr/post/incentivos-para-el-agricultor,Grant,Not specified,(787) 721-2120,913
Innovative SMEs,Government of Puerto Rico Department of Economic Development and Commerce,0,100000,"Small to medium-sized enterprises in strategic sectors such as, but not limited to, advanced manufacturing, aerospace, bio-economy (pharmaceuticals, biotechnology and medical devices), environmental sciences, energy and technology; companies with gross sales less than $3 million that invest in science and technology-based innovation",Working capital,Puerto Rico,www.ddec.pr.gov,https://www.ddec.pr.gov/en/innovative-smes/,Grant,Not specified,(787) 765-2900,913
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Rhode Island,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(401) 828-8232,2860
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Rhode Island,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(401) 828-8232,2860
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Rhode Island,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(401) 828-8232,2860
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Rhode Island,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(401) 828-8232,2860
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Rhode Island,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(401) 828-8232,2860
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Rhode Island,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(401) 828-8232,2860
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Rhode Island,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(401) 828-8232,2860
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Rhode Island,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(413) 253-4300,2860
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Rhode Island,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(413) 253-4300,2860
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Rhode Island,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(413) 253-4300,2860
Business Development Loan Program (BDL),Wisconsin Economic Development Corporation,100000,250000,"Businesses in aerospace manufacturing, bioscience, energy, power and control, food and beverage, forest products, manufacturing, water technology, transportation; for-profit enterprises registered to conduct businesses in the state of Wisconsin with less than 500 full-time employees","Real property, plant and equipment, long-term leasehold improvements, working capital, if fixed assets are also financed with WEDC funds","Rock, Jefferson, Dane, Dodge, Columbia, Sauk counties",wedc.org,https://wedc.org/programs-and-resources/business-development-loan-program/,Loan,Not specified,(608) 210-6790,53703
Economic Development Loan Fund,Salt Lake City Economic Development,25000,350000,"Startup and existing businesses, revenue-producing nonprofit ventures, businesses expanding or relocating to Salt Lake City","Energy-efficient equipment upgrades and building retrofit, businesses impacted by construction, construction/tenant improvement and/or real estate acquisition, signage, retail presentation, and display work, fixtures, furnishings, equipment and inventory, working capital, marketing",Salt Lake City,www.slc.gov,https://www.slc.gov/can/edlfloan/,Loan,Not specified,(801) 535-7258,84111
Economic Development Revolving Loan Fund (EDRLF),Salt Lake County Regional Economic Development,0,400000,"Businesses, generally in high-tech or manufacturing, in the Urban County area",Contact provider,"Salt Lake County (including unincorporated), Metro Townships, Towns of Alta, Bluffdale, Cottonwood Heights, Draper, Herriman, Holladay, Midvale, Millcreek City, Riverton, South Salt Lake",slco.org,https://slco.org/economic-development/revolving-loan-funds/revolving-loan-fund/,Loan - Revolving Loan Fund,Not specified,(801) 595-1141,84111
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,South Carolina,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(803) 806-3820,29483
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",South Carolina,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(803) 806-3820,29483
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",South Carolina,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(803) 806-3820,29483
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",South Carolina,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(803) 806-3820,29483
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",South Carolina,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(803) 806-3820,29483
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",South Carolina,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(803) 806-3820,29483
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",South Carolina,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(803) 806-3820,29483
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",South Carolina,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(803) 765-5163,29483
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",South Carolina,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(803) 765-5163,29483
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",South Carolina,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(803) 765-5163,29483
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,South Dakota,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(605) 352-1160,57106
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",South Dakota,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(605) 352-1160,57106
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",South Dakota,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(605) 352-1160,57106
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",South Dakota,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(605) 352-1160,57106
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",South Dakota,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(605) 352-1160,57106
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",South Dakota,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(605) 352-1160,57106
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",South Dakota,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(605) 352-1160,57106
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",South Dakota,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(605) 352-1100,57106
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",South Dakota,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(605) 352-1100,57106
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",South Dakota,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(605) 352-1100,57106
Bond Financing,South Dakota Governor's Office of Economic Development,0,400000,"For-profit businesses engaged operating an industrial, ag processing or manufacturing business","New construction, building acquisition, equipment",South Dakota,sdgoed.com,https://sdgoed.com/financing-incentives/bond-financing/,Bond,Not specified,(605) 773-4633,57106
Proof of Concept Program,South Dakota Governor's Office of Economic Development,0,25000,South Dakota-based entities committed to commercializing the results of their innovation in South Dakota,Expenses related to conducted research to demonstrate the technical and economic feasibility of an innovation,South Dakota,sdgoed.com,https://sdgoed.com/financing-incentives/proof-of-concept/,Loan,Not specified,(605) 773-4633,57106
Revolving Economic Development and Initiative Fund (REDI),South Dakota Governor's Office of Economic Development,0,400000,"Startup firms, businesses that are expanding or relocating to South Dakota","Land purchases, site improvements, construction, acquisition or renovation of a building, machinery and equipment",South Dakota,sdgoed.com,https://sdgoed.com/financing-incentives/redi-fund/,Loan - Revolving Loan Fund,Not specified,(605) 773-4633,57106
Small Business Loan,South Dakota Governor's Office of Economic Development,1000,100000,South Dakota companies and residents,"Working capital, equipment, real estate, other fixed assets",South Dakota,sdgoed.com,https://sdgoed.com/financing-incentives/microloan-sd/,Loan - Microloan,Not specified,(605) 773-4633,57106
South Dakota Works,South Dakota Governor's Office of Economic Development,0,1000000,South Dakota companies with a participating lender,"Start-up costs, working capital, inventory, interim construction loans",South Dakota,sdgoed.com,https://sdgoed.com/financing-incentives/south-dakota-works/,Loan,Not specified,(605) 773-4633,57106
Value Added Sub Fund (VASF),South Dakota Governor's Office of Economic Development,0,400000,South Dakota companies and residents,Feasibility or business studies for agricultural development technology,South Dakota,sdgoed.com,https://sdgoed.com/financing-incentives/value-added-sub-fund-vasf/,Loan,Not specified,(605) 773-4633,57106
Livestock Loan Participation,South Dakota Governor's Office of Economic Development,0,200000,South Dakota farmers and ranchers,Livestock,South Dakota,sdgoed.com,https://sdgoed.com/financing-incentives/livestock-loan-participation/,Loan,Not specified,(605) 773-4633,57106
Microloan South Dakota,South Dakota Governor's Office of Economic Development,1000,100000,Small enterprises,"Working capital, equipment, real estate, other fixed assets",South Dakota,sdgoed.com,https://sdgoed.com/financing-incentives/microloan-sd/,Loan - Microloan,Not specified,(605) 773-4633,57106
Rural Development Ag Loan Participation,South Dakota Governor's Office of Economic Development,0,500000,South Dakota farmers,"Land, buildings, improvements, machinery and equipment",South Dakota,sdgoed.com,https://sdgoed.com/financing-incentives/rural-development-ag-loan-participation/,Loan,Not specified,(605) 773-4633,57106
Value Added Agribusiness Relending Program,South Dakota Governor's Office of Economic Development,0,250000,South Dakota companies and residents,,South Dakota,sdgoed.com,https://sdgoed.com/financing-incentives/value-added-agribusiness-relending-program/,Loan,Not specified,(605) 773-4633,57106
Intermediary Relending Program,United States Virgin Islands Economic Development Authority,0,100000,Businesses located in the District of St. Thomas/St. John,Contact provider,"St. Thomas, St. John",www.usvieda.org,https://www.usvieda.org/start-or-grow-business/financing-options/intermediary-relending-program,Loan - Revolving Loan Fund,Not specified,(370) 773-6499,802
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Tennessee,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(615) 277-2600,37013
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Tennessee,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(615) 277-2600,37013
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Tennessee,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(615) 277-2600,37013
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Tennessee,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(615) 277-2600,37013
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Tennessee,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(615) 277-2600,37013
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Tennessee,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(615) 277-2600,37013
